TAZ_index_1,TAZ_index_2,Dis_TAZ
3,65,7230.184136
3,66,6728.711812
3,67,6346.303069
3,68,6105.371622
3,69,6022.919777
3,70,6105.371622
3,71,6346.303069
3,72,6728.711812
3,73,7230.184136
4,0,4000
4,1,3000
4,2,2000
4,3,1000
4,4,0
4,5,1000
4,6,2000
4,7,3000
4,8,7071.609328
4,9,6083.392022
4,10,5099.770435
4,11,4124.034249
4,12,3163.488342
4,13,2237.779813
4,14,1416.91866
4,15,1003.821941
4,16,1416.91866
4,17,2237.779813
4,18,3163.488342
4,19,7282.213316
4,20,6326.976433
4,21,5388.008053
4,22,4475.55927
4,23,3609.796502
4,24,2833.83676
4,25,2242.906771
4,26,2007.643091
4,27,2242.906771
4,28,2833.83676
4,29,3609.796502
4,30,7620.296064
4,31,6713.338373
4,32,5836.858068
4,33,5006.886469
4,34,4250.754299
4,35,3615.095035
4,36,3173.154914
4,37,3011.46345
4,38,3173.154914
4,39,3615.095035
4,40,4250.754299
4,41,8069.851158
4,42,7219.591242
4,43,6412.682567
4,44,5667.671277
4,45,5012.234802
4,46,4485.810708
4,47,4137.93399
4,48,4015.283017
4,49,4137.93399
4,50,4485.810708
4,51,5012.234802
4,52,8613.441984
4,53,7822.49211
4,54,7084.587695
4,55,6418.051325
4,56,5847.339806
4,57,5402.905034
4,58,5117.751734
4,59,5019.101793
4,60,5117.751734
4,61,5402.905034
4,62,5847.339806
4,63,9234.476847
4,64,8501.503552
4,65,7827.870888
4,66,7230.184136
4,67,6728.711812
4,68,6346.303069
4,69,6105.371622
4,70,6022.919777
4,71,6105.371622
4,72,6346.303069
4,73,6728.711812
5,0,5000
5,1,4000
5,2,3000
5,3,2000
5,4,1000
5,5,0
5,6,1000
5,7,2000
5,8,8062.732694
5,9,7071.609328
5,10,6083.392022
5,11,5099.770435
5,12,4124.034249
5,13,3163.488342
5,14,2237.779813
5,15,1416.91866
5,16,1003.821941
5,17,1416.91866
5,18,2237.779813
5,19,8248.068306
5,20,7282.213316
5,21,6326.976433
5,22,5388.008053
5,23,4475.55927
5,24,3609.796502
5,25,2833.83676
5,26,2242.906771
5,27,2007.643091
5,28,2242.906771
5,29,2833.83676
5,30,8548.03557
5,31,7620.296064
5,32,6713.338373
5,33,5836.858068
5,34,5006.886469
5,35,4250.754299
5,36,3615.095035
5,37,3173.154914
5,38,3011.46345
5,39,3173.154914
5,40,3615.095035
5,41,8951.117121
5,42,8069.851158
5,43,7219.591242
5,44,6412.682567
5,45,5667.671277
5,46,5012.234802
5,47,4485.810708
5,48,4137.93399
5,49,4015.283017
5,50,4137.93399
5,51,4485.810708
5,52,9444.118953
5,53,8613.441984
5,54,7822.49211
5,55,7084.587695
5,56,6418.051325
5,57,5847.339806
5,58,5402.905034
5,59,5117.751734
5,60,5019.101793
5,61,5117.751734
5,62,5402.905034
5,63,10013.76865
5,64,9234.476847
5,65,8501.503552
5,66,7827.870888
5,67,7230.184136
5,68,6728.711812
5,69,6346.303069
5,70,6105.371622
5,71,6022.919777
5,72,6105.371622
5,73,6346.303069
6,0,6000
6,1,5000
6,2,4000
6,3,3000
6,4,2000
6,5,1000
6,6,0
6,7,1000
6,8,9055.807998
6,9,8062.732694
