TAZ_index_1,TAZ_index_2,Dis_TAZ
4,4,0
12,4,5272.224478
13,4,4681.394932
24,4,11566.83873
41,4,12183.53856
42,4,14464.14616
43,4,8723.15812
45,4,2883.004036
48,4,5835.633639
50,4,6561.942469
68,4,4434.895459
74,4,12203.2223
75,4,10338.86572
79,4,1148.796252
87,4,4212.032194
88,4,4874.498712
90,4,3516.499463
100,4,4566.020252
107,4,2075.882961
113,4,2325.028527
114,4,2370.104348
116,4,15506.09727
120,4,18807.00319
125,4,3417.598124
127,4,21889.855
128,4,22626.32318
137,4,2451.933026
140,4,6612.281948
141,4,6633.80612
142,4,7347.180171
143,4,7763.902048
144,4,2260.324832
148,4,1704.061821
151,4,10950.36311
152,4,14088.29115
158,4,3930.568052
161,4,5036.59911
162,4,4866.135118
163,4,5975.926421
164,4,3758.945612
166,4,12710.1712
170,4,3529.042554
186,4,4022.591539
209,4,3671.50409
211,4,2735.115229
224,4,1185.933181
229,4,5020.584044
230,4,5359.685294
231,4,3551.355522
232,4,1486.439545
233,4,3911.622589
234,4,2862.035102
236,4,8620.855085
237,4,6711.639774
238,4,9995.935387
239,4,8849.839251
243,4,20214.07038
244,4,17787.90727
246,4,5284.177057
249,4,3293.193657
261,4,4551.381075
262,4,8383.756745
263,4,8585.035151
4,12,5272.224478
12,12,0
13,12,1336.490421
24,12,15583.11589
41,12,16528.03047
42,12,18881.96076
43,12,12944.15859
45,12,2389.307564
48,12,9170.901463
50,12,9572.275658
68,12,6904.183013
74,12,16856.82477
75,12,14968.58119
79,12,4899.898978
87,12,1062.195601
88,12,454.7200225
90,12,6136.875769
100,12,8003.834567
107,12,6088.11049
113,12,4954.099439
114,12,4243.523921
116,12,19703.10716
120,12,23166.67544
125,12,3544.478707
127,12,26268.10866
128,12,26900.32764
137,12,7017.300037
140,12,11412.97175
141,12,11277.1005
142,12,11054.67253
143,12,11169.15867
144,12,3354.370084
148,12,3613.359475
151,12,14925.74333
152,12,18250.93081
158,12,4769.783936
161,12,9123.723642
162,12,9244.480101
163,12,9972.589099
164,12,7508.69041
166,12,16759.28724
170,12,7767.608358
186,12,7169.209696
209,12,1601.254482
211,12,3449.276258
224,12,6066.343977
229,12,9691.291422
230,12,9054.960576
231,12,2339.432094
232,12,4014.556066
233,12,8533.981779
234,12,6162.330142
236,12,13119.10538
237,12,11134.17864
238,12,13874.25104
239,12,12593.54926
243,12,24463.34246
244,12,22004.79252
246,12,7509.076928
249,12,4855.685792
261,12,952.4174039
262,12,13193.84647
263,12,13256.49528
4,13,4681.394932
12,13,1336.490421
13,13,0
24,13,14366.60665
41,13,15362.11892
42,13,17720.39662
43,13,11780.04282
45,13,1996.645217
48,13,7934.310541
50,13,8297.267233
68,13,5640.25702
74,13,15760.46514
75,13,13877.05948
79,13,4061.5466
87,13,1225.892375
88,13,1372.264633
90,13,4925.092141
100,13,6808.300413
107,13,5095.641842
113,13,3870.142424
114,13,3172.687456
116,13,18497.52588
120,13,21980.7122
125,13,2301.485236
127,13,25079.51039
128,13,25691.49976
137,13,6068.051344
140,13,10405.96364
141,13,10225.64869
142,13,9833.248953
143,13,9911.789352
144,13,2497.821089
148,13,2980.887696
151,13,13707.06034
152,13,17044.81279
158,13,3469.064122
161,13,7993.969776
162,13,8167.980951
163,13,8809.436125
164,13,6376.220594
166,13,15541.77295
170,13,6709.836616
186,13,5967.472163
209,13,1448.980954
211,13,2376.837235
224,13,5268.703379
229,13,8674.825882
230,13,7865.631175
231,13,1241.936679
232,13,3700.833747
233,13,7534.388427
234,13,5041.276506
236,13,12010.01534
237,13,10031.44383
238,13,12648.91988
239,13,11360.76047
243,13,23254.57215
244,13,20795.99626
246,13,6209.909756
249,13,3622.099405
261,13,545.0400546
262,13,12170.02683
263,13,12190.0279
4,24,11566.83873
12,24,15583.11589
13,24,14366.60665
24,24,0
41,24,1617.157056
42,24,3647.509484
43,24,2865.831305
45,24,13648.07136
48,24,6438.256436
50,24,6204.531843
68,24,8754.701275
74,24,3134.075047
75,24,2813.577733
79,24,11162.51362
87,24,14745.84944
88,24,15370.55161
90,24,9448.665999
100,24,7581.316178
107,24,9796.300987
113,24,10692.13968
114,24,11389.71068
116,24,4138.952709
120,24,7660.118802
125,24,12066.03132
127,24,10741.26329
128,24,11325.43543
137,24,9127.293758
140,24,5495.785869
141,24,5189.888824
142,24,4533.375117
143,24,4550.600408
144,24,12419.78115
148,24,12526.68172
151,24,661.0997667
152,24,2690.079489
158,24,10965.74828
161,24,6601.608311
162,24,6700.812061
163,24,5682.03349
164,24,8149.06178
166,24,1176.194461
170,24,8101.494508
186,24,8413.919227
209,24,14298.34914
211,24,12157.68758
224,24,10384.71982
229,24,6651.001946
230,24,6537.867507
231,24,13243.78127
232,24,12968.59024
233,24,7672.259597
234,24,9476.572962
236,24,3303.571001
237,24,4903.9623
238,24,1728.762378
239,24,3025.82726
243,24,8888.888315
244,24,6431.01778
246,24,8341.039624
249,24,10745.05089
261,24,14632.79935
262,24,4372.118373
263,24,3772.949002
4,41,12183.53856
12,41,16528.03047
13,41,15362.11892
24,41,1617.157056
41,41,0
42,41,2359.245209
43,41,3584.157103
45,41,14474.7497
48,41,7529.475491
50,41,7429.08057
68,41,9840.777518
74,41,1620.735658
75,41,2194.684912
79,41,11916.68474
87,41,15638.13573
88,41,16282.82908
90,41,10443.45197
100,41,8557.989491
107,41,10572.14631
113,41,11582.88741
114,41,12291.51127
116,41,3350.013159
120,41,6656.547752
125,41,13065.51062
127,41,9756.94142
128,41,10450.99786
137,41,9802.227316
140,41,5724.613105
141,41,5574.44361
142,41,5630.950817
143,41,5811.659996
144,41,13274.23224
148,41,13302.39044
151,41,2099.403703
152,41,2025.385015
158,41,12041.58602
161,41,7415.097121
162,41,7386.599065
163,41,6556.623725
164,41,9022.084196
166,41,1387.991806
170,41,8852.466965
186,41,9399.628044
209,41,15164.94697
211,41,13079.81516
224,41,11024.29179
229,41,7166.403542
230,41,7499.892102
231,41,14195.93058
232,41,13633.84367
233,41,8279.116202
234,41,10368.30506
236,41,3571.043752
237,41,5488.870026
238,41,3052.016957
239,41,4270.415553
243,41,8031.696194
244,41,5607.307191
246,41,9524.243799
249,41,11751.89675
261,41,15586.38677
262,41,4209.747298
263,41,3759.556075
4,42,14464.14616
12,42,18881.96076
13,42,17720.39662
24,42,3647.509484
41,42,2359.245209
42,42,0
43,42,5940.790088
45,42,16810.96346
48,42,9881.919657
50,42,9753.515941
68,42,12196.2499
74,42,2542.115656
75,42,4191.049773
79,42,14240.49141
87,42,17985.46832
88,42,18632.75889
90,42,12802.58276
100,42,10917.14263
107,42,12904.44346
113,42,13933.6079
114,42,14642.94421
116,42,1550.043204
120,42,4342.949118
125,42,15424.34852
127,42,7430.688551
128,42,8170.643249
137,42,12111.65192
140,42,7914.017689
141,42,7831.34714
142,42,7977.963398
143,42,8118.226316
144,42,15617.38409
148,42,15628.63506
151,42,4267.573215
152,42,1448.955854
158,42,14398.99981
161,42,9763.154493
162,42,9711.400189
163,42,8913.049452
164,42,11374.02646
166,42,2671.466129
170,42,11184.71008
186,42,11758.76982
209,42,17508.29501
211,42,15433.04688
224,42,13317.5286
229,42,9444.683735
230,42,9859.061322
231,42,16551.57343
232,42,15926.70835
233,42,10576.93514
234,42,12720.53584
236,42,5848.302232
237,42,7806.6703
238,42,5306.660854
239,42,6572.780149
243,42,5784.233932
244,42,3450.76395
246,42,11863.76867
249,42,14111.06333
261,42,17941.58386
262,42,6256.700057
263,42,5918.24533
4,43,8723.15812
12,43,12944.15859
13,43,11780.04282
24,43,2865.831305
41,43,3584.157103
42,43,5940.790088
43,43,0
45,43,10909.93186
48,43,4019.034351
50,43,4067.558095
68,43,6299.462658
74,43,4172.732009
75,43,2466.831586
79,43,8375.191827
87,43,12059.16498
88,43,12701.40779
90,43,6866.028672
100,43,4981.726094
107,43,7018.740738
113,43,8001.501986
114,43,8709.374721
116,43,6818.09849
120,43,10229.51139
125,43,9485.38483
127,43,13331.56176
128,43,13997.52797
137,43,6297.652452
140,43,2773.223389
141,43,2376.267385
142,43,2203.530349
143,43,2639.259694
144,43,9700.826964
148,43,9754.061357
151,43,2294.908269
152,43,5381.684721
158,43,8484.794451
161,43,3840.033532
162,43,3866.031311
163,43,2972.517477
164,43,5440.2222
166,43,3989.232172
170,43,5304.433852
186,43,5822.743182
209,43,11590.46813
211,43,9496.369958
224,43,7545.729577
229,43,3785.349321
230,43,3924.7902
231,43,10611.7755
232,43,10143.07927
233,43,4817.375344
234,43,6785.838989
236,43,997.1144234
237,43,2038.132578
238,43,1592.46422
239,43,1472.184795
243,43,11566.29386
244,43,9117.016877
246,43,6059.328591
249,43,8174.614899
261,43,12002.2416
262,43,2328.082516
263,43,1708.500009
4,45,2883.004036
12,45,2389.307564
13,45,1996.645217
24,45,13648.07136
41,45,14474.7497
42,45,16810.96346
43,45,10909.93186
45,45,0
48,45,7373.69442
50,45,7908.290069
68,45,5287.460594
74,45,14689.34412
75,45,12802.13125
79,45,2609.090608
87,45,1330.688587
88,45,1999.849264
90,45,4382.245561
100,45,6120.439516
107,45,3907.930542
113,45,2986.118197
114,45,2334.165168
116,45,17721.14182
120,45,21131.15657
125,45,2281.776702
127,45,24231.62214
128,45,24907.3702
137,45,4764.878042
140,45,9167.621515
141,45,9081.511745
142,45,9176.640925
143,45,9404.010616
144,45,1245.640523
148,45,1248.117731
151,45,13000.8278
152,45,16275.98743
158,45,3528.590325
161,45,7071.168965
162,45,7103.842279
163,45,7970.602555
164,45,5499.06753
166,45,14819.91731
170,45,5626.654974
186,45,5332.057773
209,45,789.9359211
211,45,1720.385017
224,45,3720.797224
229,45,7469.736595
230,45,7128.881563
231,45,1334.825331
232,45,1716.710345
233,45,6307.822073
234,45,4183.67762
236,45,10988.16937
237,45,9009.737783
238,45,11975.61886
239,45,10728.86473
243,45,22475.2435
244,45,20023.03222
246,45,6036.532151
249,45,3290.911246
261,45,1725.777544
262,45,10955.58737
263,45,11066.15693
4,48,5835.633639
